Store,Period,Forecast Type,Predicted Sales,Important Positive Factors,Important Negative Factors,Forecast Summary
133,2015-05-04,Weekly,41901.56,"promotion activity, week of year, number of open days","recent 12-week average sales, recent 8-week weighted sales trend, sales fifty-two weeks ago","Weekly predicted sales: 41,902. Main factors increasing the model prediction: promotion activity, week of year, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, sales fifty-two weeks ago."
133,2015-05-11,Weekly,27168.86,"school holiday period, recent 4-week sales variability, sales four weeks ago","promotion activity, sales fifty-two weeks ago, number of open days","Weekly predicted sales: 27,169. Main factors increasing the model prediction: school holiday period, recent 4-week sales variability, sales four weeks ago. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, number of open days."
133,2015-05-18,Weekly,38664.71,"promotion activity, time progression, number of open days","recent 12-week average sales, sales fifty-two weeks ago, week of year","Weekly predicted sales: 38,665. Main factors increasing the model prediction: promotion activity, time progression, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, week of year."
133,2015-05-25,Weekly,25512.85,"week of year, school holiday period, recent 12-week sales variability","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 25,513. Main factors increasing the model prediction: week of year, school holiday period, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
133,2015-06-01,Weekly,42752.54,"promotion activity, month-start timing, week of year","recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales","Weekly predicted sales: 42,753. Main factors increasing the model prediction: promotion activity, month-start timing, week of year. Main factors decreasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales."
133,2015-06-08,Weekly,28059.36,"number of open days, week of year, school holiday period","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 28,059. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
133,2015-06-15,Weekly,40618.58,"promotion activity, number of open days, school holiday period","recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend","Weekly predicted sales: 40,619. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend."
133,2015-06-22,Weekly,28690.91,"number of open days, week of year, school holiday period","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 28,691. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
133,2015-06-29,Weekly,43780.18,"promotion activity, month-start timing, number of open days","recent 12-week average sales, recent 8-week weighted sales trend, sales fifty-two weeks ago","Weekly predicted sales: 43,780. Main factors increasing the model prediction: promotion activity, month-start timing, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, sales fifty-two weeks ago."
133,2015-07-06,Weekly,28561.16,"number of open days, week of year, school holiday period","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 28,561. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
133,2015-07-13,Weekly,38668.86,"promotion activity, number of open days, recent 4-week average sales","recent 12-week average sales, sales fifty-two weeks ago, school holiday period","Weekly predicted sales: 38,669. Main factors increasing the model prediction: promotion activity, number of open days, recent 4-week average sales. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, school holiday period."
133,2015-07-20,Weekly,27434.12,"number of open days, recent 12-week sales variability, state holiday period","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 27,434. Main factors increasing the model prediction: number of open days, recent 12-week sales variability, state holiday period. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
133,2015-07-27,Weekly,36843.66,"promotion activity, month-end timing, time progression","recent 12-week average sales, weekend days, school holiday period","Weekly predicted sales: 36,844. Main factors increasing the model prediction: promotion activity, month-end timing, time progression. Main factors decreasing the model prediction: recent 12-week average sales, weekend days, school holiday period."
134,2015-05-04,Weekly,31199.55,"promotion activity, week of year, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 31,200. Main factors increasing the model prediction: promotion activity, week of year, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
134,2015-05-11,Weekly,21435.58,"recent 4-week sales variability, recent 12-week sales variability, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 21,436. Main factors increasing the model prediction: recent 4-week sales variability, recent 12-week sales variability, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
134,2015-05-18,Weekly,29390.58,"promotion activity, number of open days, school holiday period","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 29,391. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
134,2015-05-25,Weekly,21187.19,"week of year, recent 4-week sales variability, recent 12-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 21,187. Main factors increasing the model prediction: week of year, recent 4-week sales variability, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
134,2015-06-01,Weekly,32147.07,"promotion activity, month-start timing, week of year","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 32,147. Main factors increasing the model prediction: promotion activity, month-start timing, week of year. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
134,2015-06-08,Weekly,23549.04,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 23,549. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
134,2015-06-15,Weekly,31213.26,"promotion activity, number of open days, school holiday period","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 31,213. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
134,2015-06-22,Weekly,23873.61,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 23,874. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
134,2015-06-29,Weekly,33001.55,"promotion activity, month-start timing, number of open days","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 33,002. Main factors increasing the model prediction: promotion activity, month-start timing, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
134,2015-07-06,Weekly,24238.1,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 24,238. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
134,2015-07-13,Weekly,31999.9,"promotion activity, school holiday period, number of open days","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 32,000. Main factors increasing the model prediction: promotion activity, school holiday period, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
134,2015-07-20,Weekly,22710.48,"number of open days, recent 4-week sales variability, recent 12-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 22,710. Main factors increasing the model prediction: number of open days, recent 4-week sales variability, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
134,2015-07-27,Weekly,28481.36,"promotion activity, month-end timing, time progression","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 28,481. Main factors increasing the model prediction: promotion activity, month-end timing, time progression. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
135,2015-05-04,Weekly,42144.77,"promotion activity, week of year, number of open days","recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend","Weekly predicted sales: 42,145. Main factors increasing the model prediction: promotion activity, week of year, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend."
135,2015-05-11,Weekly,28700.53,"school holiday period, recent 4-week sales variability, StoreType_a","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 28,701. Main factors increasing the model prediction: school holiday period, recent 4-week sales variability, StoreType_a. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
135,2015-05-18,Weekly,40325.25,"promotion activity, time since previous promotion, time progression","sales fifty-two weeks ago, recent 12-week average sales, week of year","Weekly predicted sales: 40,325. Main factors increasing the model prediction: promotion activity, time since previous promotion, time progression. Main factors decreasing the model prediction: sales fifty-two weeks ago, recent 12-week average sales, week of year."
135,2015-05-25,Weekly,28858.14,"week of year, recent 4-week sales variability, school holiday period","promotion activity, sales fifty-two weeks ago, number of open days","Weekly predicted sales: 28,858. Main factors increasing the model prediction: week of year, recent 4-week sales variability, school holiday period. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, number of open days."
135,2015-06-01,Weekly,40447.13,"promotion activity, week of year, month-start timing","recent 12-week average sales, sales fifty-two weeks ago, number of open days","Weekly predicted sales: 40,447. Main factors increasing the model prediction: promotion activity, week of year, month-start timing. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, number of open days."
135,2015-06-08,Weekly,30463.34,"number of open days, week of year, school holiday period","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 30,463. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
135,2015-06-15,Weekly,41297.45,"promotion activity, time since previous promotion, number of open days","sales fifty-two weeks ago, recent 12-week average sales, recent 8-week weighted sales trend","Weekly predicted sales: 41,297. Main factors increasing the model prediction: promotion activity, time since previous promotion, number of open days. Main factors decreasing the model prediction: sales fifty-two weeks ago, recent 12-week average sales, recent 8-week weighted sales trend."
135,2015-06-22,Weekly,30895.91,"number of open days, week of year, school holiday period","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 30,896. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
135,2015-06-29,Weekly,44469.12,"promotion activity, month-start timing, number of open days","recent 12-week average sales, recent 8-week weighted sales trend, recent 8-week average sales","Weekly predicted sales: 44,469. Main factors increasing the model prediction: promotion activity, month-start timing, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 8-week average sales."
135,2015-07-06,Weekly,30293.93,"number of open days, week of year, school holiday period","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 30,294. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
135,2015-07-13,Weekly,43203.96,"promotion activity, recent 4-week average sales, time since previous promotion","sales fifty-two weeks ago, recent 12-week average sales, recent 8-week weighted sales trend","Weekly predicted sales: 43,204. Main factors increasing the model prediction: promotion activity, recent 4-week average sales, time since previous promotion. Main factors decreasing the model prediction: sales fifty-two weeks ago, recent 12-week average sales, recent 8-week weighted sales trend."
135,2015-07-20,Weekly,30497.75,"number of open days, school holiday period, recent 12-week sales variability","promotion activity, sales fifty-two weeks ago, recent 12-week average sales","Weekly predicted sales: 30,498. Main factors increasing the model prediction: number of open days, school holiday period, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales."
135,2015-07-27,Weekly,40830.42,"promotion activity, month-end timing, time progression","weekend days, school holiday period, sales fifty-two weeks ago","Weekly predicted sales: 40,830. Main factors increasing the model prediction: promotion activity, month-end timing, time progression. Main factors decreasing the model prediction: weekend days, school holiday period, sales fifty-two weeks ago."
136,2015-05-04,Weekly,37544.77,"promotion activity, week of year, number of open days","recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend","Weekly predicted sales: 37,545. Main factors increasing the model prediction: promotion activity, week of year, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend."
136,2015-05-11,Weekly,25945.91,"school holiday period, sales four weeks ago, recent 12-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 25,946. Main factors increasing the model prediction: school holiday period, sales four weeks ago, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
136,2015-05-18,Weekly,37277.53,"promotion activity, time progression, number of open days","recent 12-week average sales, sales fifty-two weeks ago, week of year","Weekly predicted sales: 37,278. Main factors increasing the model prediction: promotion activity, time progression, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, week of year."
136,2015-05-25,Weekly,26787.08,"sales fifty-two weeks ago, week of year, recent 12-week sales variability","promotion activity, recent 12-week average sales, number of open days","Weekly predicted sales: 26,787. Main factors increasing the model prediction: sales fifty-two weeks ago, week of year, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, number of open days."
136,2015-06-01,Weekly,34413.89,"promotion activity, week of year, month-start timing","recent 12-week average sales, sales fifty-two weeks ago, number of open days","Weekly predicted sales: 34,414. Main factors increasing the model prediction: promotion activity, week of year, month-start timing. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, number of open days."
136,2015-06-08,Weekly,30418.88,"sales fifty-two weeks ago, number of open days, school holiday period","promotion activity, recent 12-week average sales, recent 4-week average sales","Weekly predicted sales: 30,419. Main factors increasing the model prediction: sales fifty-two weeks ago, number of open days, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales."
136,2015-06-15,Weekly,35395.16,"promotion activity, number of open days, school holiday period","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 35,395. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
136,2015-06-22,Weekly,27206.35,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 27,206. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
136,2015-06-29,Weekly,39930.13,"promotion activity, month-start timing, number of open days","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 39,930. Main factors increasing the model prediction: promotion activity, month-start timing, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
136,2015-07-06,Weekly,26837.21,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 26,837. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
136,2015-07-13,Weekly,40328.29,"promotion activity, sales fifty-two weeks ago, number of open days","recent 12-week average sales, recent 4-week average sales, recent 8-week weighted sales trend","Weekly predicted sales: 40,328. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, recent 8-week weighted sales trend."
136,2015-07-20,Weekly,27028.31,"number of open days, school holiday period, state holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 27,028. Main factors increasing the model prediction: number of open days, school holiday period, state holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
136,2015-07-27,Weekly,40380.56,"promotion activity, month-end timing, sales fifty-two weeks ago","recent 12-week average sales, weekend days, recent 8-week weighted sales trend","Weekly predicted sales: 40,381. Main factors increasing the model prediction: promotion activity, month-end timing, sales fifty-two weeks ago. Main factors decreasing the model prediction: recent 12-week average sales, weekend days, recent 8-week weighted sales trend."
137,2015-05-04,Weekly,55111.4,"promotion activity, recent 12-week average sales, recent 4-week average sales","sales fifty-two weeks ago, time progression, time since previous promotion","Weekly predicted sales: 55,111. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: sales fifty-two weeks ago, time progression, time since previous promotion."
137,2015-05-11,Weekly,40584.72,"recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend","promotion activity, number of open days, week of year","Weekly predicted sales: 40,585. Main factors increasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, number of open days, week of year."
137,2015-05-18,Weekly,54895.52,"promotion activity, recent 12-week average sales, recent 4-week average sales","week of year, calendar year, month-start timing","Weekly predicted sales: 54,896. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: week of year, calendar year, month-start timing."
137,2015-05-25,Weekly,38146.43,"sales fifty-two weeks ago, recent 12-week average sales, recent 4-week average sales","promotion activity, number of open days, school holiday period","Weekly predicted sales: 38,146. Main factors increasing the model prediction: sales fifty-two weeks ago, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: promotion activity, number of open days, school holiday period."
137,2015-06-01,Weekly,54486.45,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","number of open days, school holiday period, calendar year","Weekly predicted sales: 54,486. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: number of open days, school holiday period, calendar year."
137,2015-06-08,Weekly,46021.0,"sales fifty-two weeks ago, recent 12-week average sales, number of open days","promotion activity, sales two periods ago, calendar year","Weekly predicted sales: 46,021. Main factors increasing the model prediction: sales fifty-two weeks ago, recent 12-week average sales, number of open days. Main factors decreasing the model prediction: promotion activity, sales two periods ago, calendar year."
137,2015-06-15,Weekly,55017.35,"promotion activity, recent 12-week average sales, recent 4-week average sales","sales fifty-two weeks ago, calendar year, recent 4-week sales variability","Weekly predicted sales: 55,017. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: sales fifty-two weeks ago, calendar year, recent 4-week sales variability."
137,2015-06-22,Weekly,43412.89,"recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales","promotion activity, sales fifty-two weeks ago, time since previous promotion","Weekly predicted sales: 43,413. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, time since previous promotion."
137,2015-06-29,Weekly,60523.54,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","recent 4-week sales variability, calendar year, CompetitionOpenSinceYear","Weekly predicted sales: 60,524. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: recent 4-week sales variability, calendar year, CompetitionOpenSinceYear."
137,2015-07-06,Weekly,44788.66,"recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales","promotion activity, sales fifty-two weeks ago, time since previous promotion","Weekly predicted sales: 44,789. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, time since previous promotion."
137,2015-07-13,Weekly,58028.75,"promotion activity, recent 12-week average sales, recent 4-week average sales","week of year, calendar year, recent 4-week sales variability","Weekly predicted sales: 58,029. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: week of year, calendar year, recent 4-week sales variability."
137,2015-07-20,Weekly,42211.12,"recent 12-week average sales, recent 4-week average sales, recent 8-week weighted sales trend","promotion activity, sales fifty-two weeks ago, time since previous promotion","Weekly predicted sales: 42,211. Main factors increasing the model prediction: recent 12-week average sales, recent 4-week average sales, recent 8-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, time since previous promotion."
137,2015-07-27,Weekly,53326.54,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","weekend days, number of open days, recent 8-week weighted sales trend","Weekly predicted sales: 53,327. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: weekend days, number of open days, recent 8-week weighted sales trend."
138,2015-05-04,Weekly,50456.51,"promotion activity, sales fifty-two weeks ago, week of year","recent 8-week weighted sales trend, sales two periods ago, sales four weeks ago","Weekly predicted sales: 50,457. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, week of year. Main factors decreasing the model prediction: recent 8-week weighted sales trend, sales two periods ago, sales four weeks ago."
138,2015-05-11,Weekly,33974.51,"recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend","promotion activity, sales fifty-two weeks ago, number of open days","Weekly predicted sales: 33,975. Main factors increasing the model prediction: recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, number of open days."
138,2015-05-18,Weekly,47434.15,"promotion activity, recent 12-week average sales, recent 4-week average sales","week of year, recent 8-week weighted sales trend, previous period sales","Weekly predicted sales: 47,434. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: week of year, recent 8-week weighted sales trend, previous period sales."
138,2015-05-25,Weekly,33165.76,"recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend","promotion activity, number of open days, sales fifty-two weeks ago","Weekly predicted sales: 33,166. Main factors increasing the model prediction: recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, number of open days, sales fifty-two weeks ago."
138,2015-06-01,Weekly,55417.64,"promotion activity, sales fifty-two weeks ago, week of year","recent 8-week weighted sales trend, calendar year, recent 4-week weighted sales trend","Weekly predicted sales: 55,418. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, week of year. Main factors decreasing the model prediction: recent 8-week weighted sales trend, calendar year, recent 4-week weighted sales trend."
138,2015-06-08,Weekly,36133.89,"recent 12-week average sales, recent 4-week weighted sales trend, number of open days","promotion activity, sales fifty-two weeks ago, time since previous promotion","Weekly predicted sales: 36,134. Main factors increasing the model prediction: recent 12-week average sales, recent 4-week weighted sales trend, number of open days. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, time since previous promotion."
138,2015-06-15,Weekly,52775.93,"promotion activity, sales fifty-two weeks ago, recent 4-week average sales","recent 8-week weighted sales trend, calendar year, recent 4-week weighted sales trend","Weekly predicted sales: 52,776. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 4-week average sales. Main factors decreasing the model prediction: recent 8-week weighted sales trend, calendar year, recent 4-week weighted sales trend."
138,2015-06-22,Weekly,36493.27,"recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend","promotion activity, sales fifty-two weeks ago, time since previous promotion","Weekly predicted sales: 36,493. Main factors increasing the model prediction: recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, time since previous promotion."
138,2015-06-29,Weekly,54727.75,"promotion activity, sales fifty-two weeks ago, recent 4-week average sales","recent 8-week weighted sales trend, calendar year, recent 4-week weighted sales trend","Weekly predicted sales: 54,728. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 4-week average sales. Main factors decreasing the model prediction: recent 8-week weighted sales trend, calendar year, recent 4-week weighted sales trend."
138,2015-07-06,Weekly,37795.92,"recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend","promotion activity, sales fifty-two weeks ago, time since previous promotion","Weekly predicted sales: 37,796. Main factors increasing the model prediction: recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, time since previous promotion."
138,2015-07-13,Weekly,51071.3,"promotion activity, recent 12-week average sales, recent 4-week average sales","school holiday period, recent 8-week weighted sales trend, calendar year","Weekly predicted sales: 51,071. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: school holiday period, recent 8-week weighted sales trend, calendar year."
138,2015-07-20,Weekly,36441.09,"recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend","promotion activity, sales fifty-two weeks ago, school holiday period","Weekly predicted sales: 36,441. Main factors increasing the model prediction: recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, school holiday period."
138,2015-07-27,Weekly,49844.92,"promotion activity, recent 12-week average sales, recent 4-week average sales","weekend days, school holiday period, number of open days","Weekly predicted sales: 49,845. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: weekend days, school holiday period, number of open days."
139,2015-05-04,Weekly,42695.19,"promotion activity, week of year, number of open days","sales fifty-two weeks ago, recent 8-week weighted sales trend, recent 12-week average sales","Weekly predicted sales: 42,695. Main factors increasing the model prediction: promotion activity, week of year, number of open days. Main factors decreasing the model prediction: sales fifty-two weeks ago, recent 8-week weighted sales trend, recent 12-week average sales."
139,2015-05-11,Weekly,31343.11,"recent 12-week sales variability, sales four weeks ago, school holiday period","promotion activity, number of open days, recent 8-week weighted sales trend","Weekly predicted sales: 31,343. Main factors increasing the model prediction: recent 12-week sales variability, sales four weeks ago, school holiday period. Main factors decreasing the model prediction: promotion activity, number of open days, recent 8-week weighted sales trend."
139,2015-05-18,Weekly,42472.04,"promotion activity, time since previous promotion, time progression","sales fifty-two weeks ago, recent 8-week weighted sales trend, week of year","Weekly predicted sales: 42,472. Main factors increasing the model prediction: promotion activity, time since previous promotion, time progression. Main factors decreasing the model prediction: sales fifty-two weeks ago, recent 8-week weighted sales trend, week of year."
139,2015-05-25,Weekly,30534.73,"sales fifty-two weeks ago, week of year, recent 12-week sales variability","promotion activity, number of open days, school holiday period","Weekly predicted sales: 30,535. Main factors increasing the model prediction: sales fifty-two weeks ago, week of year, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, number of open days, school holiday period."
139,2015-06-01,Weekly,41329.58,"promotion activity, week of year, month-start timing","number of open days, sales fifty-two weeks ago, recent 8-week weighted sales trend","Weekly predicted sales: 41,330. Main factors increasing the model prediction: promotion activity, week of year, month-start timing. Main factors decreasing the model prediction: number of open days, sales fifty-two weeks ago, recent 8-week weighted sales trend."
139,2015-06-08,Weekly,32060.98,"sales fifty-two weeks ago, number of open days, school holiday period","promotion activity, recent 8-week weighted sales trend, recent 4-week average sales","Weekly predicted sales: 32,061. Main factors increasing the model prediction: sales fifty-two weeks ago, number of open days, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 8-week weighted sales trend, recent 4-week average sales."
